Model,Threshold,CV_F1,Accuracy,BalAcc,Precision,Recall,F1,AUC,TP,FP,FN,TN
XGBoost (scale_pos_weight),0.72,0.746,0.932,0.836,0.929,0.684,0.788,0.944,52,4,24,329
Soft Voting (RF+XGB+HistGB),0.63,0.766,0.927,0.843,0.871,0.711,0.783,0.948,54,8,22,325
Balanced Random Forest,0.65,0.706,0.924,0.837,0.869,0.697,0.774,0.924,53,8,23,325
XGBoost + SMOTE,0.53,0.742,0.919,0.849,0.812,0.737,0.772,0.941,56,13,20,320
Random Forest (balanced),0.51,0.727,0.917,0.832,0.828,0.697,0.757,0.935,53,11,23,322
HistGradientBoosting (balanced),0.77,0.749,0.919,0.824,0.864,0.671,0.756,0.933,51,8,25,325
Random Forest + SMOTE,0.55,0.692,0.912,0.839,0.786,0.724,0.753,0.937,55,15,21,318
ANN / MLP + SMOTE,0.58,0.649,0.914,0.831,0.815,0.697,0.752,0.915,53,12,23,321
ExtraTrees (balanced),0.47,0.729,0.897,0.835,0.718,0.737,0.727,0.93,56,22,20,311
SVM RBF (balanced),0.36,0.648,0.875,0.817,0.647,0.724,0.683,0.909,55,30,21,303
